rank,model,organization,country,hf_repo,provider_prefix,params,active_params,context_tokens,native_tool_calling,tool_calling_grade,vram_fp16_gb,vram_int4_gb,recommended_gpu,license,best_role,vllm_tool_parser,bfcl_v4,benchmark_note,notes,validated_stack,validated_date
1,Llama 3.3 70B Instruct,Meta,USA,meta-llama/Llama-3.3-70B-Instruct,openai,70B,70B,128000,yes,excellent,161,44,1x 48GB (A6000 / L40S),Llama 3.3 Community,orchestrator,llama3_json,31.9 (FC),BFCL Function-Calling tier (self-hosted),Best all-round open tool caller; in SAM modelinfo. Llama 3 has no parallel tool calls,,
2,Qwen2.5 72B Instruct,Alibaba (Qwen team),China,Qwen/Qwen2.5-72B-Instruct,openai,72B,72B,128000,yes,excellent,166,46,1x 48GB (A6000 / L40S),Qwen,orchestrator,hermes,n/a,Native Hermes-style FC (vLLM); superseded on BFCL by Qwen3,Strong multi-tool and parallel calls,,
3,Qwen2.5 32B Instruct,Alibaba (Qwen team),China,Qwen/Qwen2.5-32B-Instruct,openai,32B,32B,128000,yes,excellent,74,20,1x 24GB (RTX 4090 / A10),Apache-2.0,orchestrator,hermes,n/a,Native Hermes-style FC (vLLM),Best single-GPU orchestrator; Apache-2.0,,
4,Qwen3 32B,Alibaba (Qwen team),China,Qwen/Qwen3-32B,openai,32B,32B,128000,yes,excellent,74,20,1x 24GB (RTX 4090 / A10),Apache-2.0,orchestrator,hermes,48.71 (FC),BFCL Function-Calling tier (self-hosted),Current-gen Qwen; strong FC; toggleable thinking,,
5,Mistral Large 2 2411,Mistral AI,France,mistralai/Mistral-Large-Instruct-2411,openai,123B,123B,128000,yes,excellent,283,78,1x 80GB (A100 / H100),MRL non-prod,orchestrator,mistral,38.37 (FC),BFCL Function-Calling tier (mistral-large-2411-FC),Function calling designed-in; in SAM modelinfo,,
6,Llama 3.1 405B Instruct,Meta,USA,meta-llama/Llama-3.1-405B-Instruct,openai,405B,405B,128000,yes,excellent,931,256,4x 80GB (A100 / H100),Llama 3.1 Community,orchestrator,llama3_json,n/a,BFCL Function-Calling tier (self-hosted),Highest ceiling; heavy host; in SAM modelinfo. No parallel tool calls (Llama 3),,
7,Llama 3.1 70B Instruct,Meta,USA,meta-llama/Llama-3.1-70B-Instruct,openai,70B,70B,128000,yes,excellent,161,44,1x 48GB (A6000 / L40S),Llama 3.1 Community,orchestrator,llama3_json,n/a,BFCL Function-Calling tier (self-hosted),Ubiquitous safe default; in SAM modelinfo. No parallel tool calls (Llama 3),,
8,DeepSeek-V3.1,DeepSeek,China,deepseek-ai/DeepSeek-V3.1,openai,671B,37B,128000,yes,very-good,1543,424,8x 80GB (1x H100 node),DeepSeek,orchestrator,deepseek_v31,n/a,Native FC; needs deepseek_v31 parser + template,MoE low active params; strong tool+reasoning; use V3.1 template,,
9,GLM-4.6,Zhipu AI (Z.ai),China,zai-org/GLM-4.6,openai,355B,32B,128000,yes,very-good,816,225,4x 80GB (A100 / H100),MIT,orchestrator,glm45,72.38 (FC),BFCL Function-Calling tier (glm-4.6-FC),Strong agentic MoE; MIT license; use glm45 parser,,
10,gpt-oss 120b,OpenAI,USA,openai/gpt-oss-120b,openai,117B,5.1B,128000,yes,very-good,n/a (MXFP4),~65 (MXFP4),1x 80GB (A100 / H100),Apache-2.0,orchestrator,openai,n/a,Agentic-first; near o4-mini reasoning (vendor),OpenAI open-weight; harmony format required; dedicated vLLM openai parser,,
